 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,1360.828,465.994,561,2352,3094.611,229980.000
2,2.274,3622.988,678.905,1730,4095,8238.908,612285.000
3,2.274,917.047,268.873,487,1552,2085.425,154981.000
4,2.274,1301.550,462.404,481,2413,2959.809,219962.000
5,2.274,3905.515,458.160,2032,4095,8881.392,660032.000
6,2.274,1062.669,296.342,515,1642,2416.577,179591.000
7,2.274,1875.107,494.313,669,2589,4264.113,316893.000
8,2.274,4090.207,51.084,3451,4095,9301.394,691245.000
9,2.274,1297.710,167.087,881,1812,2951.076,219313.000
10,2.274,293.586,45.986,196,535,667.633,49616.000
11,2.274,1134.142,436.026,643,3656,2579.112,191670.000
12,2.274,574.290,93.516,400,990,1305.972,97055.000
13,2.274,231.385,35.593,117,300,526.184,39104.000
14,2.274,869.704,151.101,479,1242,1977.763,146980.000
15,2.274,477.509,88.431,281,656,1085.886,80699.000
16,2.274,221.095,24.510,156,296,502.784,37365.000
17,2.274,713.497,62.896,554,857,1622.538,120581.000
18,2.274,578.065,49.258,471,766,1314.557,97693.000
19,2.274,117.065,16.215,80,179,266.214,19784.000
20,2.274,148.438,19.197,104,205,337.557,25086.000
21,2.274,152.586,17.247,96,194,346.990,25787.000
